,tweet_id,media_type,retweet_count,favorite_count,user_followers
2234,667832474953625600,photo,63,292,7620508
2235,667806454573760512,photo,505,1066,7620508
2236,667801013445750784,photo,97,330,7620508
2237,667793409583771648,photo,336,707,7620508
2238,667782464991965184,photo,248,414,7620508
2239,667773195014021121,photo,58,237,7620508
2240,667766675769573376,photo,220,446,7620508
2241,667728196545200128,photo,152,379,7620508
2242,667724302356258817,photo,324,488,7620508
2243,667550904950915073,photo,35,0,7620508
2244,667550882905632768,photo,33,0,7620508
2245,667549055577362432,photo,2323,5846,7620508
2246,667546741521195010,photo,126,337,7620508
2247,667544320556335104,photo,532,875,7620508
2248,667538891197542400,photo,66,205,7620508
2249,667534815156183040,photo,549,825,7620508
2250,667530908589760512,photo,244,471,7620508
2251,667524857454854144,photo,1125,1711,7620508
2252,667517642048163840,photo,195,369,7620508
2253,667509364010450944,photo,2160,6828,7620508
2254,667502640335572993,photo,222,538,7620508
2255,667495797102141441,photo,274,522,7620508
2256,667491009379606528,photo,232,532,7620508
2257,667470559035432960,photo,100,258,7620509
2258,667455448082227200,photo,60,192,7620509
2259,667453023279554560,photo,91,314,7620509
2260,667443425659232256,photo,588,783,7620509
2261,667437278097252352,photo,242,451,7620509
2262,667435689202614272,photo,84,306,7620509
2263,667405339315146752,photo,221,468,7620509
2264,667393430834667520,photo,58,197,7620509
2265,667369227918143488,photo,166,368,7620509
2266,667211855547486208,photo,245,496,7620509
2267,667200525029539841,photo,263,617,7620509
2268,667192066997374976,photo,109,386,7620509
2269,667188689915760640,photo,421,745,7620509
2270,667182792070062081,photo,6268,14392,7620509
2271,667177989038297088,photo,55,192,7620509
2272,667176164155375616,photo,464,612,7620509
2273,667174963120574464,photo,84,245,7620509
2274,667171260800061440,photo,91,221,7620509
2275,667165590075940865,photo,1149,2702,7619919
2276,667160273090932737,photo,62,257,7620509
2277,667152164079423490,photo,17259,47944,7620509
2278,667138269671505920,photo,2231,4623,7620509
2279,667119796878725120,photo,128,330,7620509
2280,667090893657276420,photo,129,334,7620509
2281,667073648344346624,photo,123,404,7620509
2282,667070482143944705,no media,14,82,7620509
2283,667065535570550784,photo,48,166,7620509
2284,667062181243039745,photo,55,218,7620509
2285,667044094246576128,photo,51,183,7620509
2286,667012601033924608,photo,225,448,7620509
2287,666996132027977728,photo,94,244,7620509
2288,666983947667116034,photo,989,2551,7620509
2289,666837028449972224,photo,557,818,7620509
2290,666835007768551424,photo,80,214,7620509
2291,666826780179869698,photo,97,254,7620509
2292,666817836334096384,photo,251,517,7620509
2293,666804364988780544,photo,94,241,7620509
2294,666786068205871104,photo,487,760,7620509
2295,666781792255496192,photo,195,387,7620509
2296,666776908487630848,photo,175,351,7620509
2297,666739327293083650,photo,66,236,7620509
2298,666701168228331520,photo,219,431,7620509
2299,666691418707132416,photo,47,187,7620509
2300,666649482315059201,photo,624,1119,7620509
2301,666644823164719104,photo,81,230,7620509
2302,666454714377183233,photo,208,517,7620509
2303,666447344410484738,photo,20,104,7620509
2304,666437273139982337,photo,48,124,7620509
2305,666435652385423360,photo,53,164,7620509
2306,666430724426358785,photo,195,312,7620509
2307,666428276349472768,photo,83,164,7620509
2308,666421158376562688,photo,111,313,7620509
2309,666418789513326592,photo,45,122,7620509
2310,666411507551481857,photo,323,438,7620509
2311,666407126856765440,photo,40,106,7620509
2312,666396247373291520,photo,84,164,7620509
2313,666373753744588802,photo,90,185,7620509
2314,666362758909284353,photo,563,763,7620509
2315,666353288456101888,photo,71,215,7620509
2316,666345417576210432,photo,133,288,7619919
2317,666337882303524864,photo,90,193,7620509
2318,666293911632134144,photo,349,490,7620509
2319,666287406224695296,photo,64,144,7619919
2320,666273097616637952,photo,76,171,7620509
2321,666268910803644416,photo,35,100,7620509
2322,666104133288665088,photo,6438,14086,7620509
2323,666102155909144576,photo,12,78,7620509
2324,666099513787052032,photo,66,151,7620509
2325,666094000022159362,photo,72,161,7620509
2326,666082916733198337,photo,44,114,7620509
2327,666073100786774016,photo,160,316,7620509
2328,666071193221509120,photo,59,142,7620509
2329,666063827256086533,photo,214,465,7620509
2330,666058600524156928,photo,57,109,7620509
2331,666057090499244032,photo,139,290,7620509
2332,666055525042405380,photo,241,429,7620509
2333,666051853826850816,photo,839,1203,7620509
2334,666050758794694657,photo,59,130,7620509
2335,666049248165822465,photo,41,107,7620509
2336,666044226329800704,photo,139,293,7620509
2337,666033412701032449,photo,43,123,7620509
2338,666029285002620928,photo,47,126,7620509
2339,666020888022790149,photo,502,2538,7620509
